Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;201;1001;1001;Agliè;;TO;0;0;2644;2011;13,1462;2017;2658;2017
1;1;1;201;1002;1002;Airasca;;TO;0;0;3819;2011;15,7393;2017;3671;2017
1;1;1;201;1003;1003;Ala di Stura;;TO;0;0;462;2011;46,3315;2017;446;2017
1;1;1;201;1004;1004;Albiano d'Ivrea;;TO;0;0;1791;2011;11,7314;2017;1681;2017
1;1;1;201;1005;1005;Alice Superiore;;TO;0;0;701;2011;7,3796;2017;722;2017
1;1;1;201;1006;1006;Almese;;TO;0;0;6303;2011;17,8756;2017;6412;2017
1;1;1;201;1007;1007;Alpette;;TO;0;0;277;2011;5,6261;2017;246;2017
1;1;1;201;1008;1008;Alpignano;;TO;0;0;16893;2011;11,9193;2017;17201;2017
1;1;1;201;1009;1009;Andezeno;;TO;0;0;1966;2011;7,4860;2017;2018;2017
1;1;1;201;1010;1010;Andrate;;TO;0;0;512;2011;9,3085;2017;490;2017
1;1;1;201;1011;1011;Angrogna;;TO;0;0;870;2011;38,8782;2017;865;2017
1;1;1;201;1012;1012;Arignano;;TO;0;0;1039;2011;8,1668;2017;1089;2017
1;1;1;201;1013;1013;Avigliana;;TO;0;0;12129;2011;23,2172;2017;12427;2017
1;1;1;201;1014;1014;Azeglio;;TO;0;0;1347;2011;9,9605;2017;1262;2017
1;1;1;201;1015;1015;Bairo;;TO;0;0;816;2011;7,0859;2017;794;2017
1;1;1;201;1016;1016;Balangero;;TO;0;0;3161;2011;13,0063;2017;3181;2017
1;1;1;201;1017;1017;Baldissero Canavese;;TO;0;0;534;2011;4,5064;2017;539;2017
1;1;1;201;1018;1018;Baldissero Torinese;;TO;0;0;3783;2011;15,4054;2017;3671;2017
1;1;1;201;1019;1019;Balme;;TO;0;0;95;2011;62,7105;2017;114;2017
1;1;1;201;1020;1020;Banchette;;TO;0;0;3280;2011;2,0289;2017;3224;2017
1;1;1;201;1021;1021;Barbania;;TO;0;0;1623;2011;12,8027;2017;1565;2017
1;1;1;201;1022;1022;Bardonecchia;;TO;0;0;3212;2011;132,2030;2017;3136;2017
1;1;1;201;1023;1023;Barone Canavese;;TO;0;0;599;2011;3,9864;2017;588;2017
1;1;1;201;1024;1024;Beinasco;;TO;0;0;18104;2011;6,7343;2017;17980;2017
1;1;1;201;1025;1025;Bibiana;;TO;0;0;3376;2011;18,5979;2017;3450;2017
1;1;1;201;1026;1026;Bobbio Pellice;;TO;0;0;566;2011;94,0819;2017;552;2017
1;1;1;201;1027;1027;Bollengo;;TO;0;0;2112;2011;14,2234;2017;2145;2017
1;1;1;201;1028;1028;Borgaro Torinese;;TO;0;0;11723;2011;11,1039;2017;11932;2017
1;1;1;201;1029;1029;Borgiallo;;TO;0;0;550;2011;6,9648;2017;586;2017
1;1;1;201;1030;1030;Borgofranco d'Ivrea;;TO;0;0;3643;2011;13,4189;2017;3638;2017
1;1;1;201;1031;1031;Borgomasino;;TO;0;0;835;2011;12,3712;2017;802;2017
1;1;1;201;1032;1032;Borgone Susa;;TO;0;0;2320;2011;4,9617;2017;2197;2017
1;1;1;201;1033;1033;Bosconero;;TO;0;0;3056;2011;10,9190;2017;3121;2017
1;1;1;201;1034;1034;Brandizzo;;TO;0;0;8402;2011;6,2914;2017;8601;2017
1;1;1;201;1035;1035;Bricherasio;;TO;0;0;4517;2011;22,7585;2017;4622;2017
1;1;1;201;1036;1036;Brosso;;TO;0;0;460;2011;11,1350;2017;406;2017
1;1;1;201;1037;1037;Brozolo;;TO;0;0;471;2011;8,9504;2017;444;2017
1;1;1;201;1038;1038;Bruino;;TO;0;0;8479;2011;5,5701;2017;8543;2017
1;1;1;201;1039;1039;Brusasco;;TO;0;0;1726;2011;14,3592;2017;1528;2017
1;1;1;201;1040;1040;Bruzolo;;TO;0;0;1545;2011;12,5598;2017;1534;2017
1;1;1;201;1041;1041;Buriasco;;TO;0;0;1405;2011;14,6868;2017;1365;2017
1;1;1;201;1042;1042;Burolo;;TO;0;0;1228;2011;5,4760;2017;1160;2017
1;1;1;201;1043;1043;Busano;;TO;0;0;1588;2011;5,0591;2017;1628;2017
1;1;1;201;1044;1044;Bussoleno;;TO;0;0;6363;2011;37,0661;2017;5942;2017
1;1;1;201;1045;1045;Buttigliera Alta;;TO;0;0;6386;2011;8,0973;2017;6433;2017
1;1;1;201;1046;1046;Cafasse;;TO;0;0;3511;2011;10,2312;2017;3408;2017
1;1;1;201;1047;1047;Caluso;;TO;0;0;7483;2011;39,4925;2017;7440;2017
1;1;1;201;1048;1048;Cambiano;;TO;0;0;6215;2011;14,1314;2017;6044;2017
1;1;1;201;1049;1049;Campiglione Fenile;;TO;0;0;1382;2011;11,0863;2017;1367;2017
